iter,evals,f_best,f_mean,f_std,gbest_f,x_best
88,3520,-5.064296100000e+02,-9.395193875000e+01,1.544261245468e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
89,3560,-4.989193000000e+02,-9.355599875000e+01,1.428744600097e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
90,3600,-4.607934600000e+02,-8.949380850000e+01,1.377492750204e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
91,3640,-4.869696600000e+02,-9.197988350000e+01,1.353806810866e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
92,3680,-5.153317000000e+02,-7.713417100000e+01,1.419140361701e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
93,3720,-5.173148400000e+02,-1.288263457500e+02,1.660037731461e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
94,3760,-4.501715300000e+02,-1.191021920000e+02,1.484389097642e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
95,3800,-5.031536100000e+02,-6.440408400000e+01,1.869316077664e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
96,3840,-4.849861000000e+02,-4.718028925000e+01,1.031508147534e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
97,3880,-3.938134600000e+02,-2.451964850000e+01,1.504189616871e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
98,3920,-4.465006800000e+02,-6.860571250000e+01,1.051174418280e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
99,3960,-5.083443000000e+02,-8.454192550000e+01,1.489525269133e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
100,4000,-4.991846400000e+02,-1.133144607500e+02,1.646706815747e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
